Hindi,English
असत्य,Dishonest
बहनोई,Brother-in-law
नौकरी,Job
गायक,Singer
कवि,Poet
ज्योतिष,Astrologer
राजनीतिज्ञ,Politician
किसान,Farmer
जौ,Barley
ज्वालामुखी,Volcano
युग,Era
साम्राज्य,Empire
स्वतंत्रता,Independence
आपातकाल,Emergency
अपराध,Crime
युद्ध,War
शांति,Peace
यहूदी,Jainism
आत्मा,Soul
जुआ,Gambling
नृत्य,Dance
कला,Art
विद्युत,Electricity
द्रव्य,Matter
ऊर्जा,Energy
चौड़ाई,Width
तापमान,Temperature
अणु,Molecule
भेड़,Sheep
गरूड़,Eagle
अन्तरिक्ष,Space
महा विस्फोट,Big Bang
हीरा,Diamond
खड़िया,Chalk
लोहा,Iron
तांबा,Copper
बर्फ़,Ice
जलयान,Ship
आविष्कार,Invention
शस्त्र,Weapons
दूरदर्शन,Television
दीवार,Wall
पुल,Bridge
त्वचा,Skin
आंख,Eyes
कलाई,Wrist
पीला,Yellow
भूरा,Brown
चांदी,Silver
विशाल,Huge
